"","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"1","fixed",NA,"(Intercept)",6.06996210861423,0.012588084987947,482.19900917623,95.4779331631504,1.70627074849352e-163,6.04497321363182,6.09495100359664
"2","fixed",NA,"Probability1",0.033627288967269,0.00170722539810786,19.697041178358,93.3980213606437,5.06992118862619e-35,0.0302372680664617,0.0370173098680763
"3","fixed",NA,"Session1",0.0526061537263746,0.00351820064872762,14.9525734825272,91.8468513510562,2.42527781578321e-26,0.045618548315836,0.0595937591369133
"4","fixed",NA,"Distance",-0.0163889195392368,0.0124742577868708,-1.31381921227299,95.9699651610398,0.192039033339287,-0.0411502244410552,0.00837238536258161
"5","fixed",NA,"Probability1:Session1",-0.0027582129390821,0.0015992095133401,-1.72473519953074,91.1914946094819,0.0879631008022392,-0.00593475631544177,0.000418330437277578
"6","fixed",NA,"Probability1:Distance",-0.00443925213931508,0.00171398599270188,-2.59001658019221,95.9818685505817,0.011091184959458,-0.00784149564715917,-0.00103700863147098
"7","fixed",NA,"Session1:Distance",-0.00456963988730854,0.00353790161310679,-1.29162435449858,94.6967464157873,0.199630928355606,-0.0115935527313534,0.00245427295673629
"8","fixed",NA,"Probability1:Session1:Distance",0.00680536583122711,0.00160874176451412,4.23024128629028,93.7377974522345,5.43113494346229e-05,0.0036110548598407,0.00999967680261352
"9","ran_pars","Participant","sd__(Intercept)",0.122849812392966,NA,NA,NA,NA,NA,NA
"10","ran_pars","Participant","cor__(Intercept).Session1",0.468084643292651,NA,NA,NA,NA,NA,NA
"11","ran_pars","Participant","cor__(Intercept).Probability1",-0.324663679053513,NA,NA,NA,NA,NA,NA
"12","ran_pars","Participant","cor__(Intercept).Session1:Probability1",0.121242982644701,NA,NA,NA,NA,NA,NA
"13","ran_pars","Participant","sd__Session1",0.032675442371184,NA,NA,NA,NA,NA,NA
"14","ran_pars","Participant","cor__Session1.Probability1",-0.439476837033464,NA,NA,NA,NA,NA,NA
"15","ran_pars","Participant","cor__Session1.Session1:Probability1",-0.211018500009532,NA,NA,NA,NA,NA,NA
"16","ran_pars","Participant","sd__Probability1",0.0134680345066504,NA,NA,NA,NA,NA,NA
"17","ran_pars","Participant","cor__Probability1.Session1:Probability1",-0.0831359357140947,NA,NA,NA,NA,NA,NA
"18","ran_pars","Participant","sd__Session1:Probability1",0.0121276390077648,NA,NA,NA,NA,NA,NA
"19","ran_pars","Residual","sd__Observation",0.206838196593662,NA,NA,NA,NA,NA,NA
