"","V1","V2","BF","lb.CI","ub.CI"
"1","Diff1_slopes","Ex_gaussian_PVT_tau",0.627818657609983,-0.422668559736964,0.127566521058507
"2","Diff2_slopes","Ex_gaussian_PVT_tau",0.479116201068176,-0.380251712202286,0.160255275114532
"3","Diff3_slopes","Ex_gaussian_PVT_tau",0.678377526799531,-0.426098846631234,0.116821136512797
"4","Diff.total_slopes","Ex_gaussian_PVT_tau",1.63721418072604,-0.489535933729275,0.0314491348406332
"21","Diff2_slopes","Diff1_slopes",11.6577859741301,0.100522300940051,0.58775720641267
"22","Diff3_slopes","Diff1_slopes",0.42310080147492,-0.193137328296005,0.366208526167881
"23","Diff.total_slopes","Diff1_slopes",1069.01698708003,0.301357550938077,0.712757209929906
"40","Diff1_slopes","Diff2_slopes",11.6577859741301,0.100841644861361,0.586964696318746
"41","Diff3_slopes","Diff2_slopes",1309.79681707818,0.308673692987649,0.711249774594924
"42","Diff.total_slopes","Diff2_slopes",473641419.332314,0.621162066879609,0.86164709329397
"59","Diff1_slopes","Diff3_slopes",0.42310080147492,-0.193927997279317,0.367012967454808
"60","Diff2_slopes","Diff3_slopes",1309.79681707818,0.304469032685322,0.711241242316295
"61","Diff.total_slopes","Diff3_slopes",21812223.7703522,0.572277102003226,0.8444137932539
"78","Diff1_slopes","Diff.total_slopes",1069.01698708003,0.301808546447398,0.713138767878459
"79","Diff2_slopes","Diff.total_slopes",473641419.332314,0.616557568399838,0.861675341651367
"80","Diff3_slopes","Diff.total_slopes",21812223.7703522,0.56864803011914,0.845072835182198
"97","Diff1_slopes","Age",0.8472861428191,-0.0876746902092968,0.445540237885715
"98","Diff2_slopes","Age",0.340491176357696,-0.303825946515252,0.230825228066753
"99","Diff3_slopes","Age",0.352648161040318,-0.31542179031321,0.228956573758428
"100","Diff.total_slopes","Age",0.340587142809835,-0.233232256626037,0.303338018828012
"116","Diff1_slopes","Word_reading",0.349994909478909,-0.247893591494127,0.309038141534438
"117","Diff2_slopes","Word_reading",0.474067884740496,-0.1580063549615,0.37725223004497
"118","Diff3_slopes","Word_reading",0.337449000658596,-0.276647003030557,0.27538824387009
"119","Diff.total_slopes","Word_reading",0.376952278405432,-0.203554955424939,0.335924945132793
"135","Diff1_slopes","Nonword_reading",0.343491524493037,-0.263354614818649,0.295038928105782
"136","Diff2_slopes","Nonword_reading",0.377990195000876,-0.202614653099539,0.337743844331184
"137","Diff3_slopes","Nonword_reading",0.363060386649078,-0.224838581075717,0.325374201101339
"138","Diff.total_slopes","Nonword_reading",0.424415681977526,-0.177070318348165,0.358220156072318
"154","Diff1_slopes","Spelling",0.698386477428567,-0.111226802086574,0.4306745890872
"155","Diff2_slopes","Spelling",1.11396191928248,-0.0591708408539744,0.4621083670369
"156","Diff3_slopes","Spelling",0.342171944149953,-0.253709339158961,0.297965409118705
"157","Diff.total_slopes","Spelling",0.859749473095867,-0.0841382041299785,0.44033378081609
"173","Diff1_slopes","Vocabulary",0.385263649138674,-0.340443034922613,0.207606127052424
"174","Diff2_slopes","Vocabulary",0.423459196173643,-0.171984181688941,0.356875828104827
"175","Diff3_slopes","Vocabulary",7.54613573429482,0.0787620320826984,0.565753180657535
"176","Diff.total_slopes","Vocabulary",0.945983658973363,-0.071142085033622,0.444635227667426
"192","Diff1_slopes","Nonword_repetition",0.346060572747965,-0.304950932215423,0.246191943969936
"193","Diff2_slopes","Nonword_repetition",0.401495923175205,-0.346787020515183,0.182518848097765
"194","Diff3_slopes","Nonword_repetition",1.04042819322795,-0.459010739754972,0.0661924084229616
"195","Diff.total_slopes","Nonword_repetition",0.941888842643702,-0.444640607915294,0.0735493754196032
"211","Diff1_slopes","Recalling",0.530315929059116,-0.395948075277311,0.145576740639797
"212","Diff2_slopes","Recalling",0.503516492291412,-0.383547618665075,0.145461872578805
"213","Diff3_slopes","Recalling",1.67877856976737,-0.491123589444569,0.0277711162511243
"214","Diff.total_slopes","Recalling",1.1190246178211,-0.458393123653275,0.0569229184547403
"230","Diff1_slopes","Matrix_Reasoning",0.383784322725918,-0.342994268509313,0.222485215266415
"231","Diff2_slopes","Matrix_Reasoning",0.390613945481772,-0.2039708654248,0.347591362268394
"232","Diff3_slopes","Matrix_Reasoning",0.865944863924121,-0.0882103469459824,0.450278307953525
"233","Diff.total_slopes","Matrix_Reasoning",0.369734227826824,-0.216273076389352,0.332264233614399
"249","Diff1_slopes","Diff_triplets",0.518531427951441,-0.396799413754254,0.152549830239554
"250","Diff2_slopes","Diff_triplets",0.565365856362893,-0.399857225031613,0.1309730993322
"251","Diff3_slopes","Diff_triplets",0.637250326479088,-0.416310565846339,0.118348793537734
"252","Diff.total_slopes","Diff_triplets",2.16176428755491,-0.50321925704329,0.0043677015564255
"268","Diff1_slopes","Longest",0.491029095949099,-0.38760653190386,0.160987736833379
"269","Diff2_slopes","Longest",0.371333040804246,-0.331948939814175,0.207572850235545
"270","Diff3_slopes","Longest",0.334271477442079,-0.278766128849756,0.268658435299803
"271","Diff.total_slopes","Longest",1.12810428400277,-0.461382931391842,0.0558776652912962
"287","Diff1_slopes","Triplet_Match",0.341084442464392,-0.282320528500485,0.275462458763462
"288","Diff2_slopes","Triplet_Match",0.358957404781537,-0.323959288340137,0.215805960328946
"289","Diff3_slopes","Triplet_Match",0.356064848279301,-0.22679094873948,0.32028690351161
"290","Diff.total_slopes","Triplet_Match",0.372662131565416,-0.332717014217731,0.206646261158644
"306","Diff1_slopes","Reciprocal",1.90149010005543,-0.0188390035731091,0.506289663353774
"307","Diff2_slopes","Reciprocal",64.3964654093585,0.187648369415884,0.635073735918759
"308","Diff3_slopes","Reciprocal",1.14715384955181,-0.0600144954399418,0.469029259357744
"309","Diff.total_slopes","Reciprocal",74.2218230770308,0.192149456012327,0.63860156645779
"325","Diff1_slopes","PVT_lapses",1.65661710499408,-0.499563233180233,0.0312953363271883
"326","Diff2_slopes","PVT_lapses",9.52518088165136,-0.574833393460018,-0.0907227290550148
"327","Diff3_slopes","PVT_lapses",4.6959185801101,-0.553861216243093,-0.0477065033781477
"328","Diff.total_slopes","PVT_lapses",66.6308541582906,-0.64084779229366,-0.185125513710259
"344","Diff1_slopes","median_PVT",1.45765610660919,-0.488267370278716,0.038017781043027
"345","Diff2_slopes","median_PVT",29.8754021325298,-0.612198382255391,-0.147999452942356
"346","Diff3_slopes","median_PVT",1.11237503309235,-0.467842361884025,0.0615754899034455
"347","Diff.total_slopes","median_PVT",29.3137802989276,-0.608575626791149,-0.149702921408736
"363","Diff1_slopes","Enjoyment",0.377124599064199,-0.218293770681415,0.339098339892821
"364","Diff2_slopes","Enjoyment",0.382319108523631,-0.199748851376501,0.34025349998918
"365","Diff3_slopes","Enjoyment",0.336937838514679,-0.290781958972324,0.256075141239296
"366","Diff.total_slopes","Enjoyment",0.348980073113165,-0.228764277500268,0.311421217300953
