"","lower","r","upper","p"
"E__PV-Dff1_",-0.461718092841613,-0.183543503500801,0.127500420717232,0.244619670023849
"E__PV-Dff2_",-0.41408599831085,-0.137232455820004,0.162861921792526,0.368683924358706
"E__PV-Dff3_",-0.466865140291695,-0.193678958186675,0.113252853576953,0.213338764175428
"E__PV-Dff._",-0.53273742632085,-0.283542972277305,0.0108979721087463,0.0590957024822551
"E__PV-Age",-0.37614352731975,-0.0928626640061306,0.206294493508815,0.544033203831945
"E__PV-Wrd_r",-0.393106050698938,-0.108939517794364,0.19422239426625,0.481483101856438
"E__PV-Nnwrd_rd",-0.214167176520916,0.0846908537299194,0.369050308660692,0.580173172422465
"E__PV-Splln",-0.356148213790446,-0.0662753637087008,0.235233425481914,0.669062105163707
"E__PV-Vcblr",-0.214167675706634,0.0846903342995389,0.369049856734231,0.580175503677489
"E__PV-Nnwrd_rp",-0.00925067873988947,0.28505727419637,0.533916287040262,0.0576960681573645
"E__PV-Rclln",-0.0171710553303927,0.277762861077012,0.528228790475116,0.0646898268036502
"E__PV-Mtr_R",-0.195748282013715,0.115026468325902,0.404805758688833,0.468223317164018
"E__PV-Dff_t",-0.000352659685243174,0.29655875987522,0.545419084552408,0.0506137977336445
"E__PV-Lngst",-0.237501177496923,0.063883588960129,0.354049140127549,0.680355664799091
"E__PV-Trp_M",-0.165296869681655,0.138373982053577,0.418079432486313,0.370378239207046
"E__PV-Rcprc",-0.690626988694546,-0.498061274478235,-0.239548903018704,0.000498517627728942
"E__PV-PVT_l",0.605111702457452,0.76462958911665,0.865123812632559,1.5276788342925e-09
"E__PV-m_PVT",0.191424735439255,0.459158681061983,0.663294640784802,0.00151053023356835
"E__PV-Enjym",-0.228356154636755,0.0735076256656241,0.362477656750996,0.635357435090374
"Dff1_-Dff2_",0.138141920578849,0.417884181926291,0.635876668687859,0.0047643204999137
"Dff1_-Dff3_",-0.202633558926153,0.1079458285436,0.398793522608186,0.496219982104232
"Dff1_-Dff._",0.362548373774133,0.595349226037341,0.758216692587839,2.01902371038499e-05
