"","Ex_gaussian_PVT_mu","Ex_gaussian_PVT_sigma","Ex_gaussian_PVT_tau","Diff1_slopes","Diff2_slopes","Diff3_slopes","Diff.total_slopes","Improb_1","Improb_2","Improb_3","Prob_1","Prob_2","Prob_3","Diff1","Diff2","Diff3","Ratio1.1","Ratio2.1","Ratio3.1","Ratio1.2","Ratio2.2","Ratio3.2","Age","Word_reading","Nonword_reading","Spelling","Vocabulary","Nonword_repetition","Recalling","Matrix_Reasoning","Diff_triplets","Longest","Triplet_Match","Reciprocal","PVT_lapses","median_PVT","Enjoyment"
"Ex_gaussian_PVT_mu",1,-0.0392546394890952,-0.234468153783793,0.0639727972935386,0.239593926304536,0.0561161925540395,0.0656212864615528,-0.113774245028103,-0.231506068024264,-0.157767028469565,-0.115627435014925,-0.277705304975397,-0.129293570494809,0.00816732576225233,0.118326189133789,-0.042735358743721,0.0221058849933136,0.177258783632986,-0.00419613545883186,0.0207564475987737,0.181024723500077,-0.00326397866008632,-0.0624802406270955,0.286012049846885,0.0469267524162031,0.408043495575602,0.0291103635334319,0.311482524783381,0.0491634394480402,0.154596886162694,0.171621344404232,0.129238720037247,0.125338998274846,0.057562809029372,-0.204401196971461,0.0173628462306655,0.0457058027616144
"Ex_gaussian_PVT_sigma",-0.0392546394890952,1,0.690878185421218,-0.239091579184674,-0.200032664220428,-0.142284088456128,-0.214618464643846,-0.0314614910271164,0.0209936017076159,0.125524422578066,0.0352615522802467,0.091204797833999,0.124792307571099,-0.224628734736684,-0.192307467645134,-0.0292927635866943,-0.205450423674543,-0.176187080104338,-0.0690757285697713,-0.205480679499795,-0.178425131085274,-0.0654108560900059,-0.10714360538393,-0.190919365533272,0.050771028581569,-0.127749234756526,-0.259260112687064,0.154044590558533,0.219756744642812,0.265192180955286,0.0622766254776126,-0.103789895641129,-0.0040149569747571,-0.0740911558226851,0.215178573582443,-0.000444630735248589,0.208489881908561
"Ex_gaussian_PVT_tau",-0.234468153783793,0.690878185421218,1,-0.183543503500795,-0.137232455820001,-0.193678958186673,-0.283542972277303,0.0697117609801584,0.0676813322346257,0.0296847458789336,0.132281259460882,0.104407683698172,0.109429048145836,-0.248330514702942,-0.0935653465195809,-0.234550645257372,-0.16778269445002,-0.128633114118152,-0.240750823251488,-0.22837139423825,-0.129223578261478,-0.238021652660352,-0.0928626640061333,-0.108939517794364,0.0846908537299243,-0.0662753637086921,0.0846903342995329,0.285057274196374,0.277762861077022,0.115026468325892,0.29655875987522,0.0638835889601318,0.138373982053576,-0.498061274478212,0.76462958911665,0.459158681061985,0.073507625665626
"Diff1_slopes",0.0639727972935386,-0.239091579184674,-0.183543503500795,1,0.41788418192629,0.107945828543604,0.595349226037341,-0.181475320930013,-0.152353229144796,-0.281289452262549,-0.460740267728629,-0.284382990813705,-0.184811069096368,0.860963784706958,0.319467421803968,-0.185812461969573,0.955253799700611,0.359611624082809,-0.0891183067446803,0.955642802381909,0.359607226263683,-0.0970488000753034,0.220446601115184,0.0381060255354769,0.0202734145299363,0.197650729531767,-0.0845296093326638,-0.0369541143356458,-0.155439394515255,-0.0753119523406109,-0.151746604006878,-0.141645262582474,-0.00451745041863919,0.30189920836678,-0.292984502156839,-0.278566428170741,0.0747353131098477
"Diff2_slopes",0.239593926304536,-0.200032664220428,-0.137232455820001,0.41788418192629,1,0.595300214508692,0.809377374324792,-0.517276533587427,-0.282778801135661,-0.505025397300991,-0.580646514877841,-0.599866091461455,-0.581304112381388,0.207943501307248,0.861406131401015,0.346591961726436,0.330696632003398,0.966319004323727,0.471890255444432,0.307223626004409,0.96672554836514,0.47121833834912,-0.044206674894027,0.135396999681785,0.0827326188168169,0.245971767000936,0.113132218245076,-0.100801763586857,-0.146039798376085,0.0888012438716921,-0.164849354613398,-0.0770573894241756,-0.0648514110094031,0.487498804050819,-0.402559830726641,-0.454812980298676,0.0861708678631283
"Diff3_slopes",0.0561161925540395,-0.142284088456128,-0.193678958186673,0.107945828543604,0.595300214508692,1,0.784354070471956,-0.691946706552979,-0.616752779955306,-0.766253104487225,-0.662728486812271,-0.734842161195851,-0.934378791019859,-0.0201839301414428,0.285906878227312,0.677134054052904,0.015045596827108,0.479213039873055,0.860178192473972,0.0808972042706333,0.480350096262116,0.861244951181458,-0.0534628089759765,-0.00191152021713134,0.0628682867637293,0.0274786591665074,0.389458494382601,-0.241117823947392,-0.285678666857951,0.22469538295396,-0.182957689201795,-0.00653264749616925,0.0580061983888142,0.253134580886437,-0.368460858641511,-0.250031147359726,-0.0214746641554387
"Diff.total_slopes",0.0656212864615528,-0.214618464643846,-0.283542972277303,0.595349226037341,0.809377374324792,0.784354070471956,1,-0.564763578817274,-0.417834587647815,-0.564525789072301,-0.690916434636609,-0.643169512125489,-0.703992618426313,0.457192630084931,0.603967440534567,0.543916981055179,0.515425417280977,0.744430092772549,0.684390128825967,0.554814738418574,0.745907792081662,0.682468550725516,0.0443657512965622,0.0818804569049472,0.112858329759175,0.218878270281387,0.227550747589667,-0.227097070844221,-0.244403156657435,0.0702372299144184,-0.303308425285175,-0.247206965008403,-0.0782320189455539,0.493172678051571,-0.493945194436048,-0.45395866426031,0.0525636342862683
"Improb_1",-0.113774245028103,-0.0314614910271164,0.0697117609801584,-0.181475320930013,-0.517276533587427,-0.691946706552979,-0.564763578817274,1,0.818063603647538,0.741525940138048,0.951863453910596,0.88345011457323,0.762102511434973,0.112918477085338,-0.125404807101877,-0.259522000110748,-0.0431272044849832,-0.359815436147928,-0.461005118621273,-0.0773897287767943,-0.363362044006639,-0.463288026649514,-0.180141884466109,-0.0801523901842674,-0.255129594433207,-0.105185186936379,-0.405811059886764,0.08786249306186,0.322096008729157,-0.202968571904115,0.270683680449421,0.097910326023241,0.0562175329910827,-0.302666044649042,0.258933413593268,0.277322294286007,0.16558421364509
"Improb_2",-0.231506068024264,0.0209936017076159,0.0676813322346257,-0.152353229144796,-0.282778801135661,-0.616752779955306,-0.417834587647815,0.818063603647538,1,0.789467841398555,0.785193651372021,0.934884417356434,0.751269827731432,0.0966262454452352,0.216812153296218,-0.087240926077008,-0.0546031142880478,-0.0620397399560191,-0.31696617459971,-0.0933583119328485,-0.0628530228443856,-0.316354455231686,-0.234249147476214,-0.0959016812312808,-0.217763098738418,-0.109534100963767,-0.421634092185654,-0.0084309555396467,0.30938986607813,-0.180040428015048,0.0489889201060576,0.0320815645016567,-0.0659212648858178,-0.197533158311967,0.109013461399067,0.170177464580446,0.124668999374749
"Improb_3",-0.157767028469565,0.125524422578066,0.0296847458789336,-0.281289452262549,-0.505025397300991,-0.766253104487225,-0.564525789072301,0.741525940138048,0.789467841398555,1,0.753857531228686,0.85010091444513,0.938439510352819,-0.0313932649291951,-0.116316053886921,-0.0724640606612291,-0.170223262214278,-0.341658182475797,-0.349715635171649,-0.211309494346435,-0.340727193867604,-0.352113934315529,0.0632361155003583,0.00918845185969572,-0.122426350708809,-0.116286950553526,-0.297492036298378,0.061704736298751,0.350064008560844,-0.162009077778486,0.100725223516904,-0.0589080148494467,-0.0141359066817635,-0.219588840487097,0.156923996665382,0.207665790230402,-0.0851647852487214
