,Diff1_slopes,Diff2_slopes,Diff3_slopes,Diff.total_slopes,pvalues,rank,pcomp,still sig after correction,,,,
Ex_gaussian_PVT_tau,0.24461967,0.368683924,0.213338764,0.059095702,0.24461967,22,0.002173913,not sig,,,,pcomp = target alpha level / (n-rank number by degree of significance + 1)
Age,0.150451375,0.767956366,0.727241817,0.767144641,0.150451375,19,0.001923077,not sig,,,,
Word_reading,0.808313123,0.369625019,0.990174647,0.588530487,0.808313123,40,0.01,not sig,,,,
Nonword_reading,0.897328038,0.58464248,0.685170898,0.45520377,0.897328038,43,0.025,not sig,,,,
Spelling,0.203918116,0.099398771,0.859462205,0.14389541,0.203918116,20,0.002,not sig,,,,
Vocabulary,0.58538068,0.448962306,0.008184538,0.123984965,0.58538068,32,0.003846154,not sig,,,,
Nonword_repetition,0.811764472,0.500200865,0.110579588,0.124756666,0.811764472,41,0.0125,not sig,,,,
Recalling,0.313682006,0.3273315,0.057129476,0.097794749,0.313682006,23,0.002272727,not sig,,,,
Matrix_Reasoning,0.63979589,0.566497313,0.147447556,0.650513603,0.63979589,34,0.004545455,not sig,,,,
Reciprocal,0.049122402,0.000589819,0.097339434,0.000497053,0.049122402,6,0.001282051,not sig,,,,
median_PVT,0.070474719,0.001495636,0.101653638,0.001530606,0.070474719,9,0.001388889,not sig,,,,
,,,,,0.368683924,25,0.0025,not sig,,,,
,,,,,0.767956366,39,0.008333333,not sig,,,,
,,,,,0.369625019,26,0.002631579,not sig,,,,
,,,,,0.58464248,31,0.003571429,not sig,,,,
,,,,,0.099398771,12,0.001515152,not sig,,,,
,,,,,0.448962306,27,0.002777778,not sig,,,,
,,,,,0.500200865,29,0.003125,not sig,,,,
,,,,,0.3273315,24,0.002380952,not sig,,,,
,,,,,0.566497313,30,0.003333333,not sig,,,,
,,,,,0.000589819,2,0.001162791,sig,,,,
,,,,,0.001495636,3,0.001190476,not sig,,,,
,,,,,0.213338764,21,0.002083333,not sig,,,,
,,,,,0.727241817,37,0.00625,not sig,,,,
,,,,,0.990174647,44,0.05,not sig,,,,
,,,,,0.685170898,36,0.005555556,not sig,,,,
,,,,,0.859462205,42,0.016666667,not sig,,,,
,,,,,0.008184538,5,0.00125,not sig,,,,
,,,,,0.110579588,14,0.001612903,not sig,,,,
,,,,,0.057129476,7,0.001315789,not sig,,,,
,,,,,0.147447556,18,0.001851852,not sig,,,,
,,,,,0.097339434,10,0.001428571,not sig,,,,
,,,,,0.101653638,13,0.0015625,not sig,,,,
,,,,,0.059095702,8,0.001351351,not sig,,,,
,,,,,0.767144641,38,0.007142857,not sig,,,,
,,,,,0.588530487,33,0.004166667,not sig,,,,
,,,,,0.45520377,28,0.002941176,not sig,,,,
,,,,,0.14389541,17,0.001785714,not sig,,,,
,,,,,0.123984965,15,0.001666667,not sig,,,,
,,,,,0.124756666,16,0.001724138,not sig,,,,
,,,,,0.097794749,11,0.001470588,not sig,,,,
,,,,,0.650513603,35,0.005,not sig,,,,
,,,,,0.000497053,1,0.001136364,sig,,,,
,,,,,0.001530606,4,0.001219512,not sig,,,,
