"","Age","interval","Improb_1","Improb_2","Prob_1","Prob_2","Difference1","Difference2","Ratio1","Ratio2","Diff1_slopes","Diff2_slopes","lapses_1","lapses_2","mean_PVT_1","mean_PVT_2","mean_recip_1","mean_recip_2","median_1","median_2","Ex_gaussian_PVT_mu_1","Ex_gaussian_PVT_mu_2","Ex_gaussian_PVT_sigma_1","Ex_gaussian_PVT_sigma_2","Ex_gaussian_PVT_tau_1","Ex_gaussian_PVT_tau_2","Triplets_exc","Diff_triplets_exc","Longest_exc","Triplets_inc","Diff_triplets_inc","Longest_inc"
"Age","","-0.0570137074449085","0.333512329199059","0.423563197273754","0.277720147492535","0.420608723710633","0.202167147146242","0.323557626248313","0.190955992205724","0.100981387394027","0.0469576830154617","0.101588743518059","-0.0821662313827459","-0.0539442089479288","0.214672113353782","0.0877694563520953","-0.202453545347639","0.0357967745054754","0.198927748272415","-0.0255974248368279","-0.0711923580113047","0.277376930116786","0.112648262756303","-0.233852160363644","0.099957447067579","-0.250829359312994","-0.0531972008059887","-0.107080915601221","-0.0242550136749276","0.33466273062148","-0.156151498831377","0.0219585562006044"
"interval","","","-0.22156245091999","-0.147745892878338","-0.232478697043552","-0.216174708415943","0.0490931145572536","0.122624550700968","0.116044725281036","0.184584518529991","0.140931321034626","0.263158172272862","0.0851627317829468","-0.135707793726014","0.0949862425888376","-0.00511185348299889","0.142622257461183","-0.185512113330836","-0.0166845187346381","0.120450070352766","-0.194460467131745","0.096385150019207","0.199008118900541","-0.0746403401966077","0.17837939648609","-0.0575315965726649","0.0214164228951715","0.160648897143258","-0.0377975272457006","-0.259343785124801","0.282224932751711","0.0550599345605898"
"Improb_1","","","","0.815206517117831","0.954772340193483","0.860291411081272","0.19473359691811","0.158325085961417","0.0473583469888742","-0.0131583617690044","-0.373121254174768","-0.0375137847637314","0.41210054737721","0.408094553679096","0.382522767977398","0.420510862262751","-0.120491325601464","-0.190288017109358","0.415201820721955","0.477430800214574","-0.172618727882748","-0.117916602105008","0.236932550145764","0.188051072070297","0.247803606619923","0.204411251903876","0.0831133594534108","-0.0551249215715284","-0.0169083558641114","0.304986972111044","-0.139345414818277","0.0593732296272075"
"Improb_2","","","","","0.802792744190688","0.944719996892153","0.00625151424199658","0.417254804296473","-0.144189917342121","0.277880456456702","-0.307072986705268","0.23274452405259","0.468716970053236","0.232631065600638","0.392973230033683","0.456458610112697","-0.472520923951772","-0.658942592480072","0.541412740645247","0.688046401979953","0.0511337763350873","-0.251840442460863","0.0650083710174467","0.363267993081611","0.055212694833954","0.388619136907153","0.0659512521598296","0.0459806479133234","0.0990742688620632","0.091585750176039","-0.0418942914572507","0.02823550199718"
"Prob_1","","","","","","0.84829582436609","-0.068520994287749","0.153548203761429","-0.234049938483304","-0.013999681875515","-0.578780951606751","-0.0493908778450358","0.457437153063682","0.451721532879536","0.422368139096092","0.424737733706426","-0.140941105216175","-0.272138581014993","0.48636358941877","0.543208694283704","-0.142274781419185","-0.150446336463654","0.218677837970627","0.228810058631669","0.234936648738373","0.241732367066241","0.0470988605123604","-0.0728357602249499","0.0165736132024193","0.313858981449066","-0.101669052638815","0.0792177765452578"
"Prob_2","","","","","","","0.00267066139249546","0.106343150141263","-0.161093266020172","-0.0475923093255677","-0.342485009920535","-0.0927108204723997","0.488569003250345","0.349537858970369","0.417507941089659","0.455709134519251","-0.462797057281383","-0.572782722328801","0.508843024423756","0.696225014777861","-0.0407144180874653","-0.18579868592632","0.144266019912208","0.286226253466774","0.138866996409209","0.307789136600352","0.0746844512520249","0.0267290676975643","0.0973324026531526","0.159061593482779","-0.120580042646256","0.01095400878464"
"Difference1","","","","","","","","0.00910774069966039","0.965971167045806","0.00360163407995643","0.830303631442937","0.0432901974316837","-0.156716444183925","-0.108545987107777","-0.159181853383702","-0.00587413569666721","0.0813450108194983","0.284721985018453","-0.267946992444885","-0.182290591311072","-0.0934063289100797","0.121671344572739","0.0485906499627709","-0.151320323107532","0.0296341035985286","-0.137652830221202","0.131483159551017","0.0609216007934541","-0.119887058954865","-0.0197178742137293","-0.13959051759226","-0.0681017316830404"
"Difference2","","","","","","","","","-0.00264247972922223","0.949490158826509","-0.0288028678011868","0.916158897683467","-0.0877492031649779","-0.249271892401208","0.093085028159052","0.175031691608282","-0.183416743406453","-0.443831372368816","0.303795552664154","0.0651445932167956","0.286408360589864","0.367789136564426","-0.209576598046982","-0.243397736954982","-0.229383182304609","-0.28078271081253","-0.100483594792474","0.00964674365074974","-0.0136160079228121","-0.00999063347025153","0.250728178083593","0.176905003308012"
"Ratio1","","","","","","","","","","0.0243334451418777","0.80301154790229","0.0727452681679965","-0.223919508880022","-0.202819378380384","-0.2296038599716","-0.0941730656278839","0.095699489464734","0.31285671639804","-0.325617757813045","-0.29175993909229","-0.0407485837337002","0.1810832951983","-0.0121348644776903","-0.22330472360538","-0.032114066143232","-0.20980576042771","0.100144797235146","0.0590563009197597","-0.124169449244373","-0.0798211491884401","-0.124019770989505","-0.108088024436017"
"Ratio2","","","","","","","","","","","0.0499028667678242","0.985321033571573","-0.0495298306402072","-0.304495984370458","-0.0333301474080773","0.0680898307550226","-0.0472710385687452","-0.390036920244665","0.178979800315592","0.110237091192264","0.300681838374591","-0.171950185034204","-0.25064389377115","0.243745779365738","-0.264574907063299","0.256387179155624","-0.0129224030206062","0.0707028268303563","0.0384993363799233","-0.124587664514325","0.199384430966361","0.0947852746365563"
