"","Improb_1","Improb_2","Prob_1","Prob_2","Difference1","Difference2","Ratio1.1","Ratio2.1","Ratio1.2","Ratio2.2","Diff1_slopes","Diff2_slopes","Diff1_slopes.gamma","Diff2_slopes.gamma","Triplets","Diff_triplets","Longest","Enjoyment","Distance"
"Improb_1",1,0.87,0.966,0.873,0.157,0.023,-0.055,-0.093,-0.065,-0.093,-0.231,-0.151,0.328,0.246,-0.009,-0.075,0,-0.072,-0.151
"Improb_2",0.87,1,0.829,0.93,0.172,0.179,0.032,0.06,0.007,0.06,-0.175,-0.014,0.265,0.118,0.012,-0.078,-0.009,-0.042,-0.142
"Prob_1",0.966,0.829,1,0.842,-0.079,-0.009,-0.281,-0.116,-0.298,-0.116,-0.448,-0.17,0.535,0.258,-0.005,-0.1,0,-0.096,-0.183
"Prob_2",0.873,0.93,0.842,1,0.127,-0.187,-0.014,-0.3,-0.034,-0.3,-0.227,-0.368,0.315,0.461,0.054,-0.034,-0.008,-0.025,0.006
"Difference1",0.157,0.172,-0.079,0.127,1,0.143,0.975,0.11,0.977,0.112,0.902,0.094,-0.856,-0.069,-0.047,0.026,0.02,0.109,0.03
"Difference2",0.023,0.179,-0.009,-0.187,0.143,1,0.14,0.986,0.127,0.986,0.145,0.97,-0.137,-0.941,-0.068,-0.108,0.004,-0.114,-0.334
"Ratio1.1",-0.055,0.032,-0.281,-0.014,0.975,0.14,1,0.126,1,0.127,0.958,0.118,-0.929,-0.109,-0.002,0.119,0.065,0.115,0.094
"Ratio2.1",-0.093,0.06,-0.116,-0.3,0.11,0.986,0.126,1,0.116,1,0.159,0.993,-0.164,-0.978,-0.075,-0.101,0.011,-0.118,-0.332
"Ratio1.2",-0.065,0.007,-0.298,-0.034,0.977,0.127,1,0.116,1,0.117,0.96,0.111,-0.933,-0.103,0.003,0.124,0.08,0.117,0.122
"Ratio2.2",-0.093,0.06,-0.116,-0.3,0.112,0.986,0.127,1,0.117,1,0.161,0.992,-0.166,-0.978,-0.078,-0.105,0.011,-0.113,-0.327
"Diff1_slopes",-0.231,-0.175,-0.448,-0.227,0.902,0.145,0.958,0.159,0.96,0.161,1,0.166,-0.994,-0.179,-0.079,0.057,0.042,0.132,0.088
"Diff2_slopes",-0.151,-0.014,-0.17,-0.368,0.094,0.97,0.118,0.993,0.111,0.992,0.166,1,-0.178,-0.994,-0.06,-0.098,0.019,-0.109,-0.336
"Diff1_slopes.gamma",0.328,0.265,0.535,0.315,-0.856,-0.137,-0.929,-0.164,-0.933,-0.166,-0.994,-0.178,1,0.201,0.075,-0.065,-0.046,-0.137,-0.093
"Diff2_slopes.gamma",0.246,0.118,0.258,0.461,-0.069,-0.941,-0.109,-0.978,-0.103,-0.978,-0.179,-0.994,0.201,1,0.059,0.085,-0.018,0.112,0.32
"Triplets",-0.009,0.012,-0.005,0.054,-0.047,-0.068,-0.002,-0.075,0.003,-0.078,-0.079,-0.06,0.075,0.059,1,0.395,0.424,-0.152,0.059
"Diff_triplets",-0.075,-0.078,-0.1,-0.034,0.026,-0.108,0.119,-0.101,0.124,-0.105,0.057,-0.098,-0.065,0.085,0.395,1,0.207,-0.032,0.072
"Longest",0,-0.009,0,-0.008,0.02,0.004,0.065,0.011,0.08,0.011,0.042,0.019,-0.046,-0.018,0.424,0.207,1,0.007,-0.002
"Enjoyment",-0.072,-0.042,-0.096,-0.025,0.109,-0.114,0.115,-0.118,0.117,-0.113,0.132,-0.109,-0.137,0.112,-0.152,-0.032,0.007,1,0.031
"Distance",-0.151,-0.142,-0.183,0.006,0.03,-0.334,0.094,-0.332,0.122,-0.327,0.088,-0.336,-0.093,0.32,0.059,0.072,-0.002,0.031,1
