"","Improb_1","Improb_2","Prob_1","Prob_2","Difference1","Difference2","Ratio1.1","Ratio2.1","Ratio1.2","Ratio2.2","Diff1_slopes","Diff2_slopes","Diff1_slopes.gamma","Diff2_slopes.gamma","Triplets","Diff_triplets","Longest","Enjoyment","Distance"
"Improb_1",NA,0,0,0,0.27,0.94,0.669,0.192,0.645,0.195,0.003,0.051,0,0.004,0.834,0.493,0.905,0.435,0.209
"Improb_2",0,NA,0,0,0.17,0.008,0.886,0.198,0.889,0.196,0.028,0.692,0.004,0.513,0.758,0.351,0.818,0.672,0.095
"Prob_1",0,0,NA,0,0.056,0.853,0.001,0.172,0.001,0.177,0,0.048,0,0.004,0.977,0.446,0.999,0.304,0.161
"Prob_2",0,0,0,NA,0.236,0.134,0.709,0.004,0.707,0.005,0.008,0,0.001,0,0.591,0.765,0.974,0.68,0.931
"Difference1",0.27,0.17,0.056,0.236,NA,0.431,0,0.558,0,0.57,0,0.635,0,0.766,0.648,0.862,0.378,0.446,0.828
"Difference2",0.94,0.008,0.853,0.134,0.431,NA,0.419,0,0.412,0,0.308,0,0.315,0,0.141,0.169,0.585,0.454,0.001
"Ratio1.1",0.669,0.886,0.001,0.709,0,0.419,NA,0.395,0,0.409,0,0.381,0,0.383,0.71,0.62,0.205,0.403,0.661
"Ratio2.1",0.192,0.198,0.172,0.004,0.558,0,0.395,NA,0.389,0,0.165,0,0.138,0,0.148,0.194,0.705,0.422,0.001
"Ratio1.2",0.645,0.889,0.001,0.707,0,0.412,0,0.389,NA,0.404,0,0.377,0,0.379,0.714,0.63,0.223,0.403,0.632
"Ratio2.2",0.195,0.196,0.177,0.005,0.57,0,0.409,0,0.404,NA,0.173,0,0.146,0,0.139,0.184,0.7,0.436,0.001
"Diff1_slopes",0.003,0.028,0,0.008,0,0.308,0,0.165,0,0.173,NA,0.112,0,0.068,0.6,0.719,0.26,0.318,0.416
"Diff2_slopes",0.051,0.692,0.048,0,0.635,0,0.381,0,0.377,0,0.112,NA,0.08,0,0.209,0.234,0.918,0.477,0.001
"Diff1_slopes.gamma",0,0.004,0,0.001,0,0.315,0,0.138,0,0.146,0,0.08,NA,0.039,0.65,0.639,0.242,0.32,0.391
"Diff2_slopes.gamma",0.004,0.513,0.004,0,0.766,0,0.383,0,0.379,0,0.068,0,0.039,NA,0.233,0.295,0.939,0.472,0.002
"Triplets",0.834,0.758,0.977,0.591,0.648,0.141,0.71,0.148,0.714,0.139,0.6,0.209,0.65,0.233,NA,0,0,0.139,0.563
"Diff_triplets",0.493,0.351,0.446,0.765,0.862,0.169,0.62,0.194,0.63,0.184,0.719,0.234,0.639,0.295,0,NA,0.056,0.638,0.428
"Longest",0.905,0.818,0.999,0.974,0.378,0.585,0.205,0.705,0.223,0.7,0.26,0.918,0.242,0.939,0,0.056,NA,0.915,0.962
"Enjoyment",0.435,0.672,0.304,0.68,0.446,0.454,0.403,0.422,0.403,0.436,0.318,0.477,0.32,0.472,0.139,0.638,0.915,NA,0.919
"Distance",0.209,0.095,0.161,0.931,0.828,0.001,0.661,0.001,0.632,0.001,0.416,0.001,0.391,0.002,0.563,0.428,0.962,0.919,NA
