"","V1","V2","BF","lb.CI","ub.CI"
"1","Diff1_slopes","Ex_gaussian_PVT_tau",0.627818657609983,-0.419260764467644,0.129519845012906
"2","Diff2_slopes","Ex_gaussian_PVT_tau",0.479116201068176,-0.379841518059528,0.159687669426905
"3","Diff3_slopes","Ex_gaussian_PVT_tau",0.678377526799531,-0.42953532853008,0.116550596249534
"4","Diff.total_slopes","Ex_gaussian_PVT_tau",1.63721418072604,-0.490146259799162,0.0267708570901434
"21","Diff2_slopes","Diff1_slopes",11.6577859741301,0.100508083605854,0.588027089832747
"22","Diff3_slopes","Diff1_slopes",0.42310080147492,-0.193359350631209,0.365769311692072
"23","Diff.total_slopes","Diff1_slopes",1069.01698708003,0.303728674464931,0.712561317576502
"40","Diff1_slopes","Diff2_slopes",11.6577859741301,0.0991273596539264,0.587908466528178
"41","Diff3_slopes","Diff2_slopes",1309.79681707818,0.310066844959094,0.712137942139137
"42","Diff.total_slopes","Diff2_slopes",473641419.332314,0.621995230424265,0.861903294197894
"59","Diff1_slopes","Diff3_slopes",0.42310080147492,-0.193421557239254,0.363775944481546
"60","Diff2_slopes","Diff3_slopes",1309.79681707818,0.308195385007911,0.711220515954103
"61","Diff.total_slopes","Diff3_slopes",21812223.7703522,0.571108017250468,0.844081874501594
"78","Diff1_slopes","Diff.total_slopes",1069.01698708003,0.304399607070041,0.711231742086808
"79","Diff2_slopes","Diff.total_slopes",473641419.332314,0.623518932837471,0.861072949943185
"80","Diff3_slopes","Diff.total_slopes",21812223.7703522,0.567644003402403,0.843791552104674
"97","Diff1_slopes","Age",0.8472861428191,-0.0896473475186945,0.448641643267736
"98","Diff2_slopes","Age",0.340491176357696,-0.304067131383711,0.231956105975765
"99","Diff3_slopes","Age",0.352648161040318,-0.315300355090879,0.230578803481587
"100","Diff.total_slopes","Age",0.340587142809835,-0.231850136707881,0.303074316951093
"116","Diff1_slopes","Word_reading",0.349994909478909,-0.246927108360916,0.309371214869288
"117","Diff2_slopes","Word_reading",0.474067884740496,-0.157847781821681,0.376721998395941
"118","Diff3_slopes","Word_reading",0.337449000658596,-0.275091269288286,0.274319608524242
"119","Diff.total_slopes","Word_reading",0.376952278405432,-0.203202065093593,0.334975486800072
"135","Diff1_slopes","Nonword_reading",0.343491524493037,-0.262122344023947,0.296666589468319
"136","Diff2_slopes","Nonword_reading",0.377990195000876,-0.203255776128004,0.337109580405733
"137","Diff3_slopes","Nonword_reading",0.363060386649078,-0.223783985549055,0.32524281343247
"138","Diff.total_slopes","Nonword_reading",0.424415681977526,-0.17674250292405,0.358556491943945
"154","Diff1_slopes","Spelling",0.698386477428567,-0.1105920902682,0.42855027610163
"155","Diff2_slopes","Spelling",1.11396191928248,-0.0588239607746937,0.461165699255274
"156","Diff3_slopes","Spelling",0.342171944149953,-0.254321784869302,0.29911577630408
"157","Diff.total_slopes","Spelling",0.859749473095867,-0.0808332603057525,0.440291428598572
"173","Diff1_slopes","Vocabulary",0.385263649138674,-0.340973835148797,0.207370477621743
"174","Diff2_slopes","Vocabulary",0.423459196173643,-0.173962911186436,0.356368723586154
"175","Diff3_slopes","Vocabulary",7.54613573429482,0.0771825962308957,0.565829169243807
"176","Diff.total_slopes","Vocabulary",0.945983658973363,-0.0719806218441318,0.444151553258647
"192","Diff1_slopes","Nonword_repetition",0.346060572747965,-0.305366786884544,0.245026134137927
"193","Diff2_slopes","Nonword_repetition",0.401495923175205,-0.350556729789277,0.184108689679023
"194","Diff3_slopes","Nonword_repetition",1.04042819322795,-0.457139676908819,0.0666056386910864
"195","Diff.total_slopes","Nonword_repetition",0.941888842643702,-0.445854399625981,0.0721354243166088
"211","Diff1_slopes","Recalling",0.530315929059116,-0.399803241825337,0.147474902016165
"212","Diff2_slopes","Recalling",0.503516492291412,-0.383579953457164,0.145191733710502
"213","Diff3_slopes","Recalling",1.67877856976737,-0.494133865993671,0.0233089094202889
"214","Diff.total_slopes","Recalling",1.1190246178211,-0.456206004909888,0.0566003233651799
"230","Diff1_slopes","Matrix_Reasoning",0.383784322725918,-0.343105236620872,0.225664150542646
"231","Diff2_slopes","Matrix_Reasoning",0.390613945481772,-0.203713289972749,0.34690962575329
"232","Diff3_slopes","Matrix_Reasoning",0.865944863924121,-0.0878740346329724,0.450309391161225
"233","Diff.total_slopes","Matrix_Reasoning",0.369734227826824,-0.220301207595455,0.331735804706165
"249","Diff1_slopes","Diff_triplets",0.518531427951441,-0.393615473636097,0.153285217205299
"250","Diff2_slopes","Diff_triplets",0.565365856362893,-0.400779404499379,0.131331269547916
