"","Ex_gaussian_PVT_mu","Ex_gaussian_PVT_sigma","Ex_gaussian_PVT_tau","Diff1_slopes","Diff2_slopes","Diff3_slopes","Diff.total_slopes","Improb_1","Improb_2","Improb_3","Prob_1","Prob_2","Prob_3","Diff1","Diff2","Diff3","Ratio1.1","Ratio2.1","Ratio3.1","Ratio1.2","Ratio2.2","Ratio3.2","Age","Word_reading","Nonword_reading","Spelling","Vocabulary","Nonword_repetition","Recalling","Matrix_Reasoning","Diff_triplets","Longest","Triplet_Match","Reciprocal","PVT_lapses","median_PVT","Enjoyment"
"Ex_gaussian_PVT_mu",1,-0.0392546394890952,-0.234468153783793,0.0386247648163421,0.244996342680572,-0.0430352592541599,0.053833768296789,-0.113772302625704,-0.232373396633325,-0.180692250563262,-0.119653514287788,-0.280117560378371,-0.130182450268774,0.0240214919360894,0.145180046590692,-0.166401766194368,0.0269710559383215,0.20534816288917,-0.100842664616854,0.0300034271137384,0.209150864722143,-0.101641953448571,-0.0624802406270955,0.286012049846885,0.0469267524162031,0.408043495575602,0.0291103635334319,0.311482524783381,0.0491634394480402,0.154596886162694,0.171621344404232,0.129238720037247,0.125338998274846,0.057562809029372,-0.204401196971461,0.0173628462306655,0.0457058027616144
"Ex_gaussian_PVT_sigma",-0.0392546394890952,1,0.690878185421218,-0.236618508142678,-0.221505049126288,-0.148431515756159,-0.257383266734187,-0.00486540958996674,0.0725503188017481,0.153514076869937,0.0566107026625986,0.130237581808484,0.156677376622435,-0.239270561998044,-0.20291284156926,-0.0355200732420754,-0.214222755189655,-0.191071616340029,-0.0939499566926059,-0.217731438058073,-0.194544824001088,-0.0918651180599537,-0.10714360538393,-0.190919365533272,0.050771028581569,-0.127749234756526,-0.259260112687064,0.154044590558533,0.219756744642812,0.265192180955286,0.0622766254776126,-0.103789895641129,-0.0040149569747571,-0.0740911558226851,0.215178573582443,-0.000444630735248589,0.208489881908561
"Ex_gaussian_PVT_tau",-0.234468153783793,0.690878185421218,1,-0.228933724485526,-0.204464152543725,-0.199653446381235,-0.323794422324163,0.0794943554479696,0.0460053538942667,0.0151085376895501,0.133629727484788,0.0947424506707022,0.0748859325063117,-0.248035361370201,-0.167023730508183,-0.2122223003374,-0.22806622566388,-0.196997007885601,-0.204754851577735,-0.224766977639968,-0.197489431430553,-0.203149023798646,-0.0928626640061333,-0.108939517794364,0.0846908537299243,-0.0662753637086921,0.0846903342995329,0.285057274196374,0.277762861077022,0.115026468325892,0.29655875987522,0.0638835889601318,0.138373982053576,-0.498061274478212,0.76462958911665,0.459158681061985,0.073507625665626
"Diff1_slopes",0.0386247648163421,-0.236618508142678,-0.228933724485526,1,0.283500871012245,0.0332751317695942,0.623723046120999,-0.0883052597709153,-0.19175126357309,-0.198844615406791,-0.354066869208503,-0.263386761928641,-0.146218567891698,0.934443593721464,0.210510511009391,-0.128385081470815,0.985402346569944,0.25370735127222,-0.0477422108932803,0.985743968221882,0.253868028885912,-0.0534827191925275,0.131749494706389,0.106170149723633,0.105789311227547,0.322188073153149,-0.130938536576201,-0.0681044957224506,-0.297581063777874,-0.0514379845217248,-0.212223355010409,-0.215300995160794,-0.112863784619534,0.344819443953852,-0.280048894780508,-0.311531484404663,0.120970146690274
"Diff2_slopes",0.244996342680572,-0.221505049126288,-0.204464152543725,0.283500871012245,1,0.405667568450703,0.735774988854883,-0.356046435667998,-0.170654247744249,-0.359704852828976,-0.41496643334941,-0.418677740458613,-0.406842865276757,0.215007570643744,0.891070537719651,0.223772596607911,0.285156281474876,0.97942278514019,0.323008529696969,0.285505311430615,0.97964141735018,0.319004327904798,-0.051432492382677,0.2336325681955,0.112326433708969,0.333990364905214,0.0420743372134627,-0.112422235874137,-0.101022081489079,0.0744742401568555,-0.22841364046709,-0.104041364146941,-0.220477153221316,0.473964202769013,-0.363041649524379,-0.422476764098398,0.062924898685319
"Diff3_slopes",-0.0430352592541599,-0.148431515756159,-0.199653446381235,0.0332751317695942,0.405667568450703,1,0.687408874771717,-0.500064624953222,-0.465314508442633,-0.625467526195737,-0.485152797669754,-0.537461895868138,-0.811135145078581,0.0489275577536619,0.193346937789404,0.822278324757817,0.0650018245997453,0.341470094806656,0.947047354486141,0.0638429949521062,0.339724472953623,0.947107214716882,-0.0653970153360197,-0.010667380110537,-0.0498527620442267,-0.125806084277394,0.412952411426495,-0.271635408248415,-0.2392144009173,0.197959384778634,-0.122523669968137,0.0572174890145536,0.0778526843992072,0.199366971164281,-0.377155462535213,-0.198238537034748,0.0266661238057494
"Diff.total_slopes",0.053833768296789,-0.257383266734187,-0.323794422324163,0.623723046120999,0.735774988854883,0.687408874771717,1,-0.333551270445782,-0.275452780773864,-0.402025777524716,-0.477823853051853,-0.457048912789792,-0.535948297919834,0.531915063873538,0.596964236602606,0.503232132612544,0.570018648223341,0.691407889489077,0.59976407642702,0.572012086306239,0.691041711463585,0.595418697329632,0.0926830167167867,0.111445232812045,0.0367082892971992,0.187642274624794,0.133085613643011,-0.263644051842016,-0.301297925730699,0.0982854982224549,-0.217508371473272,-0.113907216130627,-0.0719326782370428,0.425063894647587,-0.498710412102241,-0.395595646713891,0.0635132246014369
"Improb_1",-0.113772302625704,-0.00486540958996674,0.0794943554479696,-0.0883052597709153,-0.356046435667998,-0.500064624953222,-0.333551270445782,1,0.833147504355326,0.725819966530852,0.963447784783257,0.866122369780152,0.713017737142264,0.102015841721919,-0.00262229072806848,-0.245801851322742,-0.0747951429904934,-0.257057454198881,-0.456023697234895,-0.0690012121834588,-0.258588500164862,-0.455043965450912,-0.170261258084397,-0.030668100729221,-0.190621085756442,-0.047816741752173,-0.440863775926022,0.0968085013168295,0.314288183660529,-0.216254753231222,0.251732071117353,0.10414131499721,0.0213656800940876,-0.276379754603574,0.24465934027698,0.240040546204815,0.143684223288977
"Improb_2",-0.232373396633325,0.0725503188017481,0.0460053538942667,-0.19175126357309,-0.170654247744249,-0.465314508442633,-0.275452780773864,0.833147504355326,1,0.813288880274412,0.838089416061867,0.965045998402849,0.77003168716284,-0.0216081964637382,0.260818822317393,-0.144477920916182,-0.183487421366805,-0.0315676728640854,-0.380508244018428,-0.180362337532853,-0.0318349284964291,-0.379284058067787,-0.216516069175828,-0.0810614740417932,-0.203794452141522,-0.100813614261263,-0.435522398042257,0.0144590536930366,0.344316926364113,-0.171678783048593,0.061753856553326,0.0440375572712823,-0.0903484323209937,-0.238461751225203,0.150422753235956,0.214071132530916,0.0888815262957446
"Improb_3",-0.180692250563262,0.153514076869937,0.0151085376895501,-0.198844615406791,-0.359704852828976,-0.625467526195737,-0.402025777524716,0.725819966530852,0.813288880274412,1,0.7407332579819,0.848952388753877,0.960781689192827,-0.0299112652156178,-0.00789073877968791,-0.281213294093428,-0.193702491318592,-0.250836916131509,-0.534850357360407,-0.191013722947723,-0.250839819951081,-0.534956485199052,0.106028491758979,0.00608268067388392,-0.139329307644896,-0.139354640400153,-0.284724771666609,0.0857875133182885,0.356463856818721,-0.180213349847828,0.0993299649884891,-0.0437550148576361,-0.0508767060078308,-0.219926261731788,0.154213477862503,0.202524796159895,-0.0700202808747564
