"","Ex_gaussian_PVT_mu","Ex_gaussian_PVT_sigma","Ex_gaussian_PVT_tau","Diff1_slopes","Diff2_slopes","Diff3_slopes","Diff.total_slopes","Improb_1","Improb_2","Improb_3","Prob_1","Prob_2","Prob_3","Diff1","Diff2","Diff3","Ratio1.1","Ratio2.1","Ratio3.1","Ratio1.2","Ratio2.2","Ratio3.2","Age","Word_reading","Nonword_reading","Spelling","Vocabulary","Nonword_repetition","Recalling","Matrix_Reasoning","Diff_triplets","Longest","Triplet_Match","Reciprocal","PVT_lapses","median_PVT","Enjoyment"
"Ex_gaussian_PVT_mu",NA,0.793344168331385,0.121069595082442,0.67993317625538,0.104789112427147,0.714264681774538,0.661215470193316,0.451529363151081,0.117408710247506,0.300644821064689,0.444144648279005,0.0587650407834748,0.397283853255924,0.957534963715289,0.428274157280182,0.780446148702309,0.885393575677557,0.233273421011571,0.978175374656732,0.891096028595244,0.223332051990826,0.983022832091404,0.676519874859235,0.0539909937231438,0.756801016102916,0.00487788152755519,0.845989756966674,0.0330684957311815,0.742782973334517,0.316344434153761,0.254100945482883,0.391989526911874,0.40655246754587,0.703959512567415,0.178028578408798,0.908819040733734,0.762943020690411
"Ex_gaussian_PVT_sigma",0.793344168331385,NA,1.49784091796334e-07,0.118037667242394,0.177626819718354,0.351146783473403,0.147429157267646,0.835571671291468,0.888608892206038,0.41130164382233,0.816036249508537,0.542057585829998,0.414056901303726,0.137945720741344,0.195313731656939,0.848515309028251,0.175763607007268,0.236157079281502,0.652080457272004,0.170701331402076,0.230162620309166,0.669452559741294,0.473480485259645,0.203738950684103,0.737560588984957,0.397515351409142,0.0784478105179947,0.30121767271398,0.137750817706057,0.0819037100089588,0.680958158187252,0.492447057840885,0.978873336164744,0.624590520362009,0.155743651048005,0.997660096705533,0.164387342974164
"Ex_gaussian_PVT_tau",0.121069595082442,1.49784091796334e-07,NA,0.244619670023863,0.368683924358717,0.213338764175433,0.0590957024822574,0.652962059823012,0.658669308913888,0.850123003038951,0.392017334550477,0.494892451468976,0.484844822537556,0.108341332697092,0.540976782227505,0.13004163700541,0.282172974889264,0.399719852650223,0.119907449033429,0.135956920748396,0.397541599750823,0.124292284564774,0.544033203831934,0.481483101856436,0.580173172422443,0.669062105163748,0.580175503677516,0.0576960681573611,0.0646898268036398,0.468223317164058,0.0506137977336438,0.680355664799077,0.370378239207047,0.000498517627729234,1.52767887229288e-09,0.00151053023356829,0.635357435090366
"Diff1_slopes",0.67993317625538,0.118037667242394,0.244619670023863,NA,0.00476432049991371,0.496219982104215,2.01902371039786e-05,0.238423455729388,0.323504142927141,0.0711402186137939,0.00164777091587975,0.0613571044542394,0.241320044849645,1.31228361510694e-13,0.0345285267902777,0.238734706139126,0,0.0165056354646773,0.574632845207194,0,0.0165070525604023,0.540925975577864,0.150451375144205,0.808313122646077,0.897328037698788,0.203918115729603,0.585380679805441,0.811764472227289,0.313682006234865,0.639795889501201,0.331355151676771,0.364914627164435,0.977063882528389,0.0491224018273972,0.0596989735788884,0.0704747188078283,0.633861899012408
"Diff2_slopes",0.104789112427147,0.177626819718354,0.368683924358717,0.00476432049991371,NA,1.60796035779676e-05,5.73274760995446e-12,0.000232219264195255,0.0541114916720289,0.000403021457925146,2.33345132034657e-05,8.34073594013773e-06,2.82274298268881e-05,0.170465090143058,7.99360577730113e-15,0.0196799743494975,0.0265007238831474,0,0.00106598977701799,0.0378134663453313,0,0.00108614516605865,0.767956365663417,0.369625019365579,0.584642480327321,0.0993987707954589,0.448962306107127,0.500200864768711,0.327331499736034,0.566497313250717,0.273602449087138,0.610749751612124,0.668512663644469,0.00058981892559351,0.00611563360334877,0.0014956358870144,0.56907383559319
"Diff3_slopes",0.714264681774538,0.351146783473403,0.213338764175433,0.496219982104215,1.60796035779676e-05,NA,1.83907555850737e-10,1.97126745593579e-07,6.43658574928097e-06,8.53949355672512e-10,9.53638889189534e-07,9.07908548342107e-09,0,0.897778818356086,0.0569225149568549,3.26160766395134e-07,0.923712243226868,0.00086699967671211,3.73034936274053e-14,0.601656326302673,0.00083927902123726,3.19744231092045e-14,0.727241817152035,0.99017464657569,0.685170898252906,0.859462204757168,0.00818453794723517,0.110579587901514,0.057129476169397,0.147447556327817,0.228989350684812,0.96602870216068,0.705069189830232,0.0973394342940015,0.0150497082527443,0.101653637528553,0.888645214327395
"Diff.total_slopes",0.661215470193316,0.147429157267646,0.0590957024822574,2.01902371039786e-05,5.73274760995446e-12,1.83907555850737e-10,NA,4.3391701990414e-05,0.00347371892415138,5.36073702710471e-05,1.06873804917029e-07,1.08536795195846e-06,6.84433398845385e-08,0.00159218464170197,6.96442880387949e-06,0.000112563425014534,0.000290860334395182,1.99580929560739e-09,2.17405230262813e-07,6.29854946554431e-05,1.78209025314402e-09,2.42329474264835e-07,0.767144641423431,0.588530487488077,0.455203769534359,0.14389540971451,0.123984965314239,0.124756665974554,0.0977947486104629,0.650513603096371,0.0404550357445559,0.0976577818635815,0.605305353424688,0.000497053008259751,0.000564089046782623,0.00153060583835352,0.728641867304698
"Improb_1",0.451529363151081,0.835571671291468,0.652962059823012,0.238423455729388,0.000232219264195255,1.97126745593579e-07,4.3391701990414e-05,NA,3.8906655674964e-12,8.51409875934905e-09,0,4.44089209850063e-16,1.86077198094381e-09,0.460191537390564,0.406304158508462,0.0889051907271996,0.778483510304485,0.0140451114589881,0.00163628790131876,0.609207234827212,0.0130607748262244,0.00154021298700835,0.230921706394045,0.600701782081492,0.0907567058755387,0.491667413178787,0.0051402919433523,0.561484884883837,0.0290369162656448,0.191766712828809,0.0721066091236464,0.522263537072672,0.713770597124179,0.043291651416379,0.0896578019046621,0.0651329334723045,0.277018830103896
"Improb_2",0.117408710247506,0.888608892206038,0.658669308913888,0.323504142927141,0.0541114916720289,6.43658574928097e-06,0.00347371892415138,3.8906655674964e-12,NA,1.16037623953957e-10,1.04517505761237e-10,0,2.75404943295143e-09,0.527760304436542,0.143237520965013,0.568779607173961,0.721655329251908,0.678676702931388,0.0338812809081204,0.537161280402451,0.674696617483949,0.0342460061216736,0.113005697417125,0.526080568493284,0.145999850418031,0.468675249700093,0.00316010400239453,0.955147219228804,0.0343292694420219,0.242218897365489,0.746461031225545,0.832376964053459,0.663366933716635,0.188216385766272,0.475948004372623,0.258178440751623,0.409085471195008
"Improb_3",0.300644821064689,0.41130164382233,0.850123003038951,0.0711402186137939,0.000403021457925146,8.53949355672512e-10,5.36073702710471e-05,8.51409875934905e-09,1.16037623953957e-10,NA,3.48358897284129e-09,1.49213974509621e-13,0,0.841603778711129,0.446714967718064,0.636179369734895,0.275129782989034,0.0216175589650036,0.018530537506531,0.168536249673933,0.0220005719298024,0.0176869445240355,0.679843174151177,0.952796107284286,0.428541009349887,0.452225508208129,0.0471814182614105,0.687195390140583,0.0184059302351289,0.299299675766827,0.510313953578511,0.700696070512497,0.926568822294704,0.15208579635206,0.31492536858694,0.176169902840787,0.578047887916481
