"","V1","V2","BF","lb.CI","ub.CI"
"1","Diff2_slopes","Diff1_slopes",0.38332497974137,-0.187467826452727,0.337900883196966
"9","Diff1_slopes","Diff2_slopes",0.38332497974137,-0.186503356613498,0.33801277118165
"17","Diff1_slopes","median_1",28.8501480987254,-0.593255106750368,-0.145381771733581
"18","Diff2_slopes","median_1",0.406873778561197,-0.207780595625568,0.358454797190344
"25","Diff1_slopes","median_2",3.01084367325237,-0.597713169599239,-0.00393907593471094
"26","Diff2_slopes","median_2",0.437582871102045,-0.292977652425361,0.384270921657922
"33","Diff1_slopes","Ex_gaussian_PVT_tau_1",0.447334124883967,-0.363220647925259,0.15585217634959
"34","Diff2_slopes","Ex_gaussian_PVT_tau_1",1.32978521554057,-0.494816337209448,0.054381983283219
"41","Diff1_slopes","Ex_gaussian_PVT_tau_2",0.594639106421901,-0.451816965186509,0.183803473835805
"42","Diff2_slopes","Ex_gaussian_PVT_tau_2",0.655612846275803,-0.18321077041023,0.478350395652524
"49","Diff1_slopes","Age",0.300411381634353,-0.191962049573763,0.271604591444713
"50","Diff2_slopes","Age",0.399238518903744,-0.176572369116345,0.34470836200625
"57","Diff1_slopes","Triplets_inc",0.579646623745112,-0.428178469964003,0.159757409319049
"58","Diff2_slopes","Triplets_inc",0.378173803547042,-0.324033694798128,0.282082009989972
"65","Diff1_slopes","Triplets_exc",0.419671246041697,-0.227081853712989,0.370690016888796
"66","Diff2_slopes","Triplets_exc",0.378222061168386,-0.282184513896533,0.325215903119091
