"","V1","V2","BF","lb.CI","ub.CI"
"1","Diff2_slopes","Diff1_slopes",0.383324488595108,-0.185979708917097,0.337137407845258
"9","Diff1_slopes","Diff2_slopes",0.383324488595108,-0.18557905880918,0.338542825273185
"17","Diff1_slopes","median_1",28.8501824497819,-0.593554508533048,-0.14181078056797
"18","Diff2_slopes","median_1",0.406874593205963,-0.207065709528508,0.359365175376547
"25","Diff1_slopes","median_2",3.01084550878778,-0.595363838822054,-0.00618484624511301
"26","Diff2_slopes","median_2",0.437583219614875,-0.292118200089434,0.386608812040941
"33","Diff1_slopes","Ex_gaussian_PVT_tau_1",0.447334164125099,-0.362638874537532,0.157994166451016
"34","Diff2_slopes","Ex_gaussian_PVT_tau_1",1.32978440778439,-0.494016207025655,0.0539499454690813
"41","Diff1_slopes","Ex_gaussian_PVT_tau_2",0.59463910683718,-0.450585794734459,0.184140249080034
"42","Diff2_slopes","Ex_gaussian_PVT_tau_2",0.655613293009155,-0.182760767126064,0.478002785680913
"49","Diff1_slopes","Age",0.300411323203043,-0.191375544377777,0.271955151869832
"50","Diff2_slopes","Age",0.399239312383574,-0.177964804456783,0.344357253481226
"57","Diff1_slopes","Triplets_inc",0.579646757531927,-0.42965292308924,0.160207469337629
"58","Diff2_slopes","Triplets_inc",0.37817377700368,-0.325695680827302,0.281279703513
"65","Diff1_slopes","Triplets_exc",0.419671221642416,-0.226384260196534,0.370973094300765
"66","Diff2_slopes","Triplets_exc",0.378222068230039,-0.282256053602957,0.326584341713739
