"","V1","V2","BF","lb.CI","ub.CI"
"1","Diff2_slopes","Diff1_slopes",0.707639909644852,-0.242606341301475,0.535649209894169
"9","Diff1_slopes","Diff2_slopes",0.707639909644852,-0.242281584257991,0.536209130052236
"17","Diff1_slopes","median_1",1.46947691347643,-0.131947709320361,0.655852833238408
"18","Diff2_slopes","median_1",0.54628180656426,-0.434011067995998,0.429335477453685
"25","Diff1_slopes","median_2",1.3456169545363,-0.194049111898618,0.690088275184683
"26","Diff2_slopes","median_2",0.675047577479046,-0.560140108204081,0.398222340559891
"33","Diff1_slopes","Ex_gaussian_PVT_tau_1",0.699922994099309,-0.54921473154834,0.285272204602149
"34","Diff2_slopes","Ex_gaussian_PVT_tau_1",0.579394572442612,-0.365377797466639,0.49497156455731
"41","Diff1_slopes","Ex_gaussian_PVT_tau_2",0.617389485634769,-0.417598317022335,0.515892369702572
"42","Diff2_slopes","Ex_gaussian_PVT_tau_2",0.710134674625936,-0.376133786519514,0.582033944915848
"49","Diff1_slopes","Age",0.542885665460827,-0.469542019967702,0.303922162615484
"50","Diff2_slopes","Age",0.496105386289117,-0.403139076310019,0.387234532271111
"57","Diff1_slopes","Triplets_inc",0.728966427704492,-0.29656582927765,0.571868907564919
"58","Diff2_slopes","Triplets_inc",0.599106416214069,-0.402471641697989,0.506471008008792
"65","Diff1_slopes","Triplets_exc",0.558669918185935,-0.394862751837486,0.472304730322765
"66","Diff2_slopes","Triplets_exc",0.837880614269432,-0.599944327038084,0.26829214650097
