Interval_stimulus,Participant,RT,Session,date,key_resp.keys,key_resp.rt,Trial
4.157783411,ADH80254,0.431265,1,2020-06-12_11h11.47.141,"[""space""]",[2.3173399999941466],0
4.876139922,ADH80254,0.27799,1,2020-06-12_11h11.47.141,,,1
5.67011868,ADH80254,0.253515,1,2020-06-12_11h11.47.141,,,2
9.338167417,ADH80254,0.31053,1,2020-06-12_11h11.47.141,,,3
9.196342656,ADH80254,0.299165,1,2020-06-12_11h11.47.141,,,4
7.62448411,ADH80254,0.53946,1,2020-06-12_11h11.47.141,,,5
8.444331594,ADH80254,0.287305,1,2020-06-12_11h11.47.141,,,6
8.90180236,ADH80254,0.320275,1,2020-06-12_11h11.47.141,,,7
5.407056312,ADH80254,0.37345,1,2020-06-12_11h11.47.141,,,8
2.60445051,ADH80254,0.361465,1,2020-06-12_11h11.47.141,,,9
5.484187239,ADH80254,0.319275,1,2020-06-12_11h11.47.141,"[""space""]",[0.021424999998998828],10
6.69396465,ADH80254,0.403485,1,2020-06-12_11h11.47.141,"[""space""]",[6.622155000004568],11
8.004172861,ADH80254,0.2705,1,2020-06-12_11h11.47.141,,,12
5.309777483,ADH80254,0.303475,1,2020-06-12_11h11.47.141,,,13
7.345542089,ADH80254,0.28983,1,2020-06-12_11h11.47.141,,,14
3.867971188,ADH80254,0.30457,1,2020-06-12_11h11.47.141,,,15
5.051121902,ADH80254,0.33524,1,2020-06-12_11h11.47.141,,,16
6.153841231,ADH80254,0.278585,1,2020-06-12_11h11.47.141,,,17
8.662079622,ADH80254,0.27911,1,2020-06-12_11h11.47.141,,,18
2.520788461,ADH80254,0.38845,1,2020-06-12_11h11.47.141,,,19
4.346096063,ADH80254,0.27367,1,2020-06-12_11h11.47.141,,,20
4.368880422,ADH80254,0.32316,1,2020-06-12_11h11.47.141,,,21
3.852849843,ADH80254,0.419005,1,2020-06-12_11h11.47.141,,,22
9.291807279,ADH80254,0.27115,1,2020-06-12_11h11.47.141,,,23
6.496852071,ADH80254,0.290405,1,2020-06-12_11h11.47.141,,,24
9.758190465,ADH80254,0.287635,1,2020-06-12_11h11.47.141,,,25
5.546689537,ADH80254,0.30453,1,2020-06-12_11h11.47.141,,,26
5.719872026,ADH80254,0.278875,1,2020-06-12_11h11.47.141,,,27
3.441117573,ADH80254,0.305895,1,2020-06-12_11h11.47.141,,,28
2.084937459,ADH80254,0.41142,1,2020-06-12_11h11.47.141,,,29
5.893972279,ADH80254,0.294425,1,2020-06-12_11h11.47.141,"[""space""]",[2.5119399999966845],30
2.318783114,ADH80254,0.32067,1,2020-06-12_11h11.47.141,,,31
7.880038906,ADH80254,0.27765,1,2020-06-12_11h11.47.141,,,32
5.12898967,ADH80254,0.28676,1,2020-06-12_11h11.47.141,,,33
9.591534371,ADH80254,0.32271,1,2020-06-12_11h11.47.141,"[""space""]",[2.934835000007297],34
4.329314194,ADH80254,0.337505,1,2020-06-12_11h11.47.141,,,35
6.425707997,ADH80254,0.304605,1,2020-06-12_11h11.47.141,,,36
8.72560625,ADH80254,0.295785,1,2020-06-12_11h11.47.141,,,37
2.592243613,ADH80254,0.354465,1,2020-06-12_11h11.47.141,,,38
4.947898945,ADH80254,0.441725,1,2020-06-12_11h11.47.141,,,39
9.956655366,ADH80254,0.29534,1,2020-06-12_11h11.47.141,,,40
3.332382424,ADH80254,0.261005,2,2020-06-19_10h32.08.553,,,0
2.450695765,ADH80254,0.410945,2,2020-06-19_10h32.08.553,,,1
4.417723529,ADH80254,0.25883,2,2020-06-19_10h32.08.553,,,2
4.595240754,ADH80254,0.27192,2,2020-06-19_10h32.08.553,,,3
4.865458115,ADH80254,0.27117,2,2020-06-19_10h32.08.553,,,4
7.290736371,ADH80254,0.27231,2,2020-06-19_10h32.08.553,,,5
4.874354954,ADH80254,0.27266,2,2020-06-19_10h32.08.553,,,6
6.652415633,ADH80254,0.305755,2,2020-06-19_10h32.08.553,,,7
6.107030107,ADH80254,0.276535,2,2020-06-19_10h32.08.553,,,8
7.898368506,ADH80254,0.25985,2,2020-06-19_10h32.08.553,,,9
5.51576185,ADH80254,0.28996,2,2020-06-19_10h32.08.553,,,10
2.222073899,ADH80254,0.304745,2,2020-06-19_10h32.08.553,,,11
6.525835258,ADH80254,0.2556,2,2020-06-19_10h32.08.553,,,12
9.772357021,ADH80254,0.286945,2,2020-06-19_10h32.08.553,,,13
7.168466416,ADH80254,0.28666,2,2020-06-19_10h32.08.553,,,14
5.653502667,ADH80254,0.309865,2,2020-06-19_10h32.08.553,,,15
5.267113661,ADH80254,0.270205,2,2020-06-19_10h32.08.553,,,16
6.601630912,ADH80254,0.277795,2,2020-06-19_10h32.08.553,,,17
8.455756344,ADH80254,0.269585,2,2020-06-19_10h32.08.553,,,18
2.145721206,ADH80254,0.404615,2,2020-06-19_10h32.08.553,,,19
2.733125699,ADH80254,0.302585,2,2020-06-19_10h32.08.553,,,20
9.213858515,ADH80254,0.301325,2,2020-06-19_10h32.08.553,,,21
5.511914962,ADH80254,0.28699,2,2020-06-19_10h32.08.553,,,22
4.38339815,ADH80254,0.28808,2,2020-06-19_10h32.08.553,,,23
8.541855194,ADH80254,0.38603,2,2020-06-19_10h32.08.553,,,24
8.914645892,ADH80254,0.2872,2,2020-06-19_10h32.08.553,,,25
5.274424478,ADH80254,0.28996,2,2020-06-19_10h32.08.553,,,26
2.168448056,ADH80254,0.323745,2,2020-06-19_10h32.08.553,,,27
6.500721596,ADH80254,0.270915,2,2020-06-19_10h32.08.553,,,28
4.029916319,ADH80254,0.268885,2,2020-06-19_10h32.08.553,,,29
2.23394129,ADH80254,0.28968,2,2020-06-19_10h32.08.553,,,30
5.672549832,ADH80254,0.270615,2,2020-06-19_10h32.08.553,"[""space""]",[3.184195000001637],31
9.826284649,ADH80254,0.278885,2,2020-06-19_10h32.08.553,"[""space""]",[5.3330799999966985],32
5.389290681,ADH80254,0.380925,2,2020-06-19_10h32.08.553,,,33
9.42969684,ADH80254,0.29603,2,2020-06-19_10h32.08.553,,,34
6.787246084,ADH80254,0.29404,2,2020-06-19_10h32.08.553,,,35
9.247765308,ADH80254,0.337235,2,2020-06-19_10h32.08.553,,,36
8.65054721,ADH80254,0.30202,2,2020-06-19_10h32.08.553,,,37
4.686400161,ADH80254,0.320895,2,2020-06-19_10h32.08.553,,,38
7.812171399,ADH80254,0.28425,2,2020-06-19_10h32.08.553,,,39
