"","Age","interval","Improb_1","Improb_2","Prob_1","Prob_2","Difference1","Difference2","Ratio1.1","Ratio2.1","Ratio1.2","Ratio2.2","Diff1_slopes","Diff2_slopes","lapses_1","lapses_2","mean_PVT_1","mean_PVT_2","mean_recip_1","mean_recip_2","median_1","median_2","Ex_gaussian_PVT_mu_1","Ex_gaussian_PVT_mu_2","Ex_gaussian_PVT_sigma_1","Ex_gaussian_PVT_sigma_2","Ex_gaussian_PVT_tau_1","Ex_gaussian_PVT_tau_2","Triplets_exc","Diff_triplets_exc","Longest_exc","Triplets_inc","Diff_triplets_inc","Longest_inc"
"Age","","0.02","0.416","0.371","0.355","0.331","0.201","0.003","0.021","-0.11","0.078","-0.104","-0.01","-0.135","-0.027","-0.081","0.186","0.328","-0.261","-0.507","0.1","0.536","-0.055","0.224","0.127","-0.002","0.13","-0.059","0.2","-0.103","0.063","-0.057","0.286","-0.026"
"interval","","","0.073","0.143","0.047","0.119","0.09","-0.025","0.078","-0.049","0.062","-0.049","0.053","-0.073","0.35","-0.085","0.061","0.103","-0.178","-0.231","0","0.169","-0.066","0.138","0.013","-0.039","0.089","-0.071","-0.076","-0.104","-0.298","-0.063","0.136","-0.026"
"Improb_1","","","","0.888","0.955","0.909","0.102","-0.184","-0.235","-0.396","-0.187","-0.398","-0.39","-0.478","0.127","-0.044","0.21","0.127","-0.243","-0.139","0.059","0.25","-0.267","0.043","0.347","0.074","0.345","0.011","0.044","-0.23","-0.116","-0.193","0.087","-0.022"
"Improb_2","","","","","0.884","0.945","0.056","0.002","-0.333","-0.249","-0.264","-0.251","-0.486","-0.354","0.061","0.05","0.166","0.131","-0.199","-0.118","0.037","0.216","-0.242","0.141","0.277","-0.054","0.298","-0.066","0.028","-0.134","-0.084","-0.112","0.098","-0.1"
"Prob_1","","","","","","0.906","-0.17","-0.182","-0.494","-0.41","-0.443","-0.41","-0.63","-0.491","0.167","0.114","0.27","0.161","-0.287","-0.117","0.114","0.226","-0.24","0.049","0.329","0.027","0.35","0.019","-0.033","-0.184","-0.09","-0.243","-0.016","-0.115"
"Prob_2","","","","","","","0.033","-0.292","-0.367","-0.519","-0.313","-0.521","-0.555","-0.606","0.057","0.115","0.221","0.23","-0.27","-0.213","0.121","0.3","-0.167","0.079","0.252","0.018","0.255","0.019","0.094","-0.095","-0.044","-0.06","0.082","-0.055"
"Difference1","","","","","","","","0.027","0.945","0.08","0.946","0.069","0.82","0.086","-0.109","0.026","-0.049","0.267","0.094","-0.239","-0.046","0.277","-0.105","-0.177","0.128","0.248","0.079","0.228","0.211","-0.147","-0.042","0.102","0.408","0.245"
"Difference2","","","","","","","","","0.129","0.955","0.158","0.957","0.264","0.913","-0.062","-0.231","-0.153","-0.305","0.172","0.281","-0.221","-0.273","-0.173","0.086","0.035","-0.118","0.085","-0.178","-0.23","0.016","-0.145","-0.007","0.109","0.009"
"Ratio1.1","","","","","","","","","","0.273","1","0.263","0.955","0.305","-0.144","-0.29","-0.292","-0.047","0.285","0.028","-0.23","-0.112","-0.019","-0.148","-0.09","0.135","-0.129","0.101","0.199","-0.052","0.017","0.272","0.338","0.307"
"Ratio2.1","","","","","","","","","","","0.284","1","0.423","0.988","-0.11","-0.272","-0.222","-0.336","0.263","0.301","-0.241","-0.327","-0.097","0.058","-0.059","-0.111","-0.016","-0.167","-0.209","0.07","-0.128","0.056","0.097","0.061"
